,S1-value2,S1-value3,S1-value4,S2-value2,S2-value3,S2-value4,S3-value2,S3-value3,S3-value4,S0-value2,S0-value3,S0-value4,Y
466,11367.0,40980.0,35197.0,7646.0,40980.0,37042.0,2384.0,40980.0,39719.0,1613.0,15.0,40168.0,0
467,11453.0,40980.0,35225.0,7712.0,40983.0,37089.0,2391.0,40980.0,39776.0,1675.0,13.0,40064.0,0
468,11511.0,40978.0,35171.0,7761.0,40977.0,37024.0,2422.0,40977.0,39708.0,1677.0,13.0,40135.0,0
469,11553.0,40978.0,35145.0,7792.0,40981.0,36998.0,2464.0,40977.0,39665.0,1674.0,14.0,40092.0,0
470,11577.0,40977.0,35159.0,7808.0,40983.0,37018.0,2449.0,40981.0,39708.0,1669.0,15.0,40093.0,0
471,11611.0,40982.0,35134.0,7833.0,40978.0,37023.0,2449.0,40978.0,39725.0,1691.0,14.0,40099.0,0
472,11612.0,40977.0,35124.0,7840.0,40982.0,36998.0,2460.0,40983.0,39731.0,1707.0,14.0,40115.0,0
473,11618.0,40979.0,35096.0,7847.0,40977.0,36974.0,2476.0,40978.0,39736.0,1700.0,17.0,40095.0,0
474,11627.0,40979.0,35090.0,7845.0,40977.0,36960.0,2511.0,40976.0,39668.0,1710.0,15.0,40056.0,0
475,11652.0,40980.0,35062.0,7862.0,40976.0,36932.0,2521.0,40978.0,39651.0,1685.0,12.0,40072.0,0
476,11670.0,40977.0,35111.0,7878.0,40982.0,36988.0,2504.0,40981.0,39681.0,1688.0,13.0,40055.0,0
477,11710.0,40980.0,35070.0,7906.0,40979.0,36965.0,2516.0,40979.0,39703.0,1688.0,13.0,40111.0,0
478,11691.0,40981.0,35084.0,7876.0,40977.0,36969.0,2521.0,40976.0,39663.0,1720.0,17.0,40079.0,0
479,11710.0,40983.0,35091.0,7894.0,40978.0,36984.0,2504.0,40980.0,39706.0,1693.0,13.0,40091.0,0
480,11625.0,40981.0,35129.0,7820.0,40980.0,37008.0,2492.0,40979.0,39655.0,1720.0,16.0,40098.0,0
481,10275.0,40978.0,35780.0,6742.0,40978.0,37532.0,1974.0,40978.0,39962.0,1683.0,12.0,40109.0,0
482,11258.0,40980.0,35308.0,7594.0,40981.0,37122.0,2363.0,40980.0,39752.0,1474.0,13.0,40191.0,0
483,11705.0,40977.0,35072.0,7993.0,40975.0,36914.0,2536.0,40979.0,39686.0,1634.0,16.0,40129.0,0
484,11815.0,40979.0,35023.0,8058.0,40978.0,36896.0,2537.0,40978.0,39718.0,1727.0,13.0,40065.0,0
485,11829.0,40979.0,35013.0,8057.0,40980.0,36856.0,2603.0,40977.0,39566.0,1769.0,13.0,40064.0,0
486,12171.0,40981.0,34810.0,8307.0,40978.0,36723.0,2757.0,40976.0,39551.0,1713.0,11.0,40081.0,0
487,12283.0,40978.0,34726.0,8395.0,40977.0,36664.0,2802.0,40979.0,39569.0,1756.0,16.0,40024.0,0
488,12278.0,40976.0,34801.0,8370.0,40980.0,36734.0,2781.0,40975.0,39517.0,1799.0,17.0,39983.0,0
489,12354.0,40978.0,34785.0,8424.0,40980.0,36734.0,2786.0,40985.0,39560.0,1764.0,14.0,40068.0,0
