S0,S1,S2,S3,Y
239866,124826,327660,32362,0
240051,124772,327660,32389,0
240027,124858,327660,32395,0
240021,124840,327660,32392,0
239983,124850,327660,32382,0
240072,124839,327660,32389,0
239996,124869,327660,32390,0
240055,124834,327660,32392,0
239963,124861,327660,32372,0
240005,124813,327660,32386,0
240023,124818,327660,32397,0
239981,124847,327660,32388,0
240030,124836,327660,32404,0
240000,124859,327660,32373,0
240007,124840,327660,32383,0
239955,124847,327660,32380,0
240024,124825,327660,32388,0
240024,124844,327660,32386,0
239281,124864,327660,32286,0
240568,124533,327660,32464,0
239807,125091,327660,32351,0
239945,124751,327660,32380,0
240080,124819,327660,32391,0
239874,124897,327660,32375,0
239918,124810,327660,32382,0
239975,124806,327660,32380,0
239951,124831,327660,32372,0
239921,124812,327660,32383,0
239939,124814,327660,32385,0
239907,124825,327660,32385,0
239938,124821,327660,32370,0
239949,124827,327660,32385,0
239951,124813,327660,32387,0
239948,124819,327660,32390,0
239944,124812,327660,32389,0
239972,124836,327660,32389,0
239991,124837,327660,32377,0
239949,124838,327660,32383,0
239949,124830,327660,32383,0
239958,124813,327660,32382,0
239948,124816,327660,32376,0
239975,124807,327660,32391,0
234241,123348,327660,31684,1
234107,123263,327660,31676,1
234097,123266,327660,31662,1
234158,123292,327660,31682,1
234231,123305,327660,31690,1
234255,123325,327660,31675,1
234095,123251,327660,31656,1
234080,123245,327660,31669,1
234179,123271,327660,31687,1
233997,123211,327660,31654,1
233999,123211,327660,31651,1
234416,123360,327660,31702,1
234146,123271,327660,31672,1
234109,123258,327660,31677,1
234625,123476,327660,31735,1
234449,123394,327660,31720,1
233842,123137,327660,31633,1
234548,123455,327660,31730,1
233978,123206,327660,31651,1
234113,123266,327660,31670,1
234253,123333,327660,31682,1
234045,123234,327660,31662,1
234091,123241,327660,31658,1
234079,123238,327660,31662,1
234158,123263,327660,31678,1
234076,123244,327660,31678,1
234098,123246,327660,31647,1
234066,123220,327660,31663,1
234137,123257,327660,31666,1
234046,123237,327660,31655,1
234113,123255,327660,31669,1
234053,123228,327660,31657,1
234121,123236,327660,31676,1
234076,123239,327660,31657,1
234112,123250,327660,31669,1
234101,123243,327660,31678,1
234058,123237,327660,31660,1
234122,123274,327660,31675,1
234131,123253,327660,31666,1
234067,123247,327660,31672,1
234080,123236,327660,31665,1
234080,123246,327660,31664,1
234065,123235,327660,31676,1
234108,123253,327660,31679,1
234122,123266,327660,31680,1
234038,123238,327660,31666,1
234101,123264,327660,31663,1
234096,123259,327660,31675,1
234105,123255,327660,31666,1
234065,123246,327660,31676,1
234117,123269,327660,31671,1
234101,123244,327660,31657,1
234146,123261,327660,31675,1
234118,123259,327660,31684,1
234068,123233,327660,31673,1
234225,123313,327660,31691,1
234092,123268,327660,31672,1
234137,123267,327660,31672,1
234120,123254,327660,31665,1
234163,123275,327660,31663,1
234129,123261,327660,31673,1
234094,123253,327660,31680,1
234138,123264,327660,31677,1
234125,123254,327660,31683,1
234106,123263,327660,31682,1
234109,123260,327660,31672,1
234142,123266,327660,31673,1
234117,123273,327660,31680,1
234102,123268,327660,31679,1
234130,123268,327660,31685,1
234100,123252,327660,31667,1
234118,123286,327660,31671,1
234132,123303,327660,31671,1
234138,123259,327660,31682,1
234116,123255,327660,31671,1
234102,123269,327660,31675,1
234152,123292,327660,31667,1
234117,123276,327660,31673,1
234132,123257,327660,31682,1
234162,123288,327660,31680,1
234125,123268,327660,31674,1
234147,123290,327660,31680,1
234083,123248,327660,31677,1
234102,123269,327660,31673,1
234219,123306,327660,31686,1
234123,123279,327660,31673,1
234128,123278,327660,31675,1
234164,123294,327660,31673,1
234205,123305,327660,31684,1
234153,123287,327660,31691,1
234214,123293,327660,31679,1
234179,123298,327660,31676,1
234079,123277,327660,31660,1
234154,123285,327660,31675,1
234138,123271,327660,31672,1
234136,123294,327660,31675,1
234137,123297,327660,31685,1
234113,123279,327660,31685,1
234175,123307,327660,31689,1
234125,123266,327660,31677,1
234117,123266,327660,31684,1
234135,123288,327660,31680,1
234154,123293,327660,31689,1
234162,123289,327660,31668,1
234133,123289,327660,31693,1
234178,123297,327660,31685,1
234111,123272,327660,31673,1
234136,123281,327660,31679,1
234142,123295,327660,31687,1
234151,123297,327660,31685,1
234164,123283,327660,31684,1
234122,123287,327660,31667,1
234191,123318,327660,31691,1
234179,123291,327660,31681,1
234141,123299,327660,31662,1
234295,123350,327660,31693,1
234135,123278,327660,31669,1
234115,123274,327660,31674,1
234190,123322,327660,31682,1
234149,123293,327660,31680,1
234148,123294,327660,31685,1
234165,123305,327660,31694,1
234166,123314,327660,31690,1
234150,123293,327660,31685,1
234144,123288,327660,31672,1
234181,123314,327660,31678,1
234156,123298,327660,31697,1
234154,123309,327660,31688,1
234156,123309,327660,31690,1
