S2-value2,S2-value3,S2-value4,S3-value2,S3-value3,S3-value4,S1-value2,S1-value3,S1-value4,Y
22820.0,40979.0,29431.0,5912.0,24585.0,21607.0,70209.0,73772.0,38454.0,1
44440.0,40987.0,18534.0,5510.0,24584.0,21810.0,69863.0,73771.0,38621.0,1
44330.0,40984.0,18588.0,5162.0,24586.0,21983.0,69665.0,73769.0,38720.0,1
44236.0,40985.0,18635.0,4975.0,24588.0,22075.0,69555.0,73769.0,38776.0,1
44135.0,40989.0,18683.0,14270.0,24586.0,17424.0,69401.0,73769.0,38852.0,1
44024.0,40986.0,18739.0,14197.0,24590.0,17461.0,69281.0,73770.0,38913.0,1
43952.0,40986.0,18773.0,14181.0,24592.0,17470.0,69263.0,73771.0,38921.0,1
43909.0,40987.0,18795.0,14146.0,24590.0,17486.0,69239.0,73768.0,38935.0,1
43821.0,40982.0,18842.0,14115.0,24585.0,17503.0,69142.0,73771.0,38983.0,1
43805.0,40981.0,18847.0,14080.0,24586.0,17519.0,69227.0,73764.0,38938.0,1
43808.0,40985.0,18849.0,14037.0,24591.0,17539.0,69249.0,73771.0,38930.0,1
43782.0,40983.0,18860.0,14031.0,24586.0,17543.0,69046.0,73764.0,39030.0,1
43751.0,40982.0,18873.0,14040.0,24590.0,17540.0,69016.0,73771.0,39046.0,1
43763.0,40984.0,18871.0,14024.0,24588.0,17547.0,68940.0,73765.0,39082.0,1
43784.0,40984.0,18859.0,14028.0,24585.0,17547.0,68861.0,73773.0,39127.0,1
43646.0,40993.0,18927.0,14035.0,24588.0,17541.0,62095.0,73767.0,42524.0,1
43644.0,40985.0,18928.0,14064.0,24588.0,17527.0,62072.0,73764.0,42534.0,1
43560.0,40985.0,18969.0,14023.0,24592.0,17548.0,61774.0,73767.0,42686.0,1
43561.0,40982.0,18971.0,13964.0,24588.0,17576.0,61896.0,73769.0,42622.0,1
39165.0,40984.0,21179.0,13991.0,24591.0,17562.0,61764.0,73766.0,42688.0,1
39099.0,40984.0,21214.0,14007.0,24587.0,17557.0,60364.0,73762.0,43389.0,1
39050.0,40982.0,21241.0,13964.0,24588.0,17578.0,60523.0,73767.0,43312.0,1
38979.0,40981.0,21272.0,13957.0,24585.0,17581.0,60630.0,73768.0,43254.0,1
39052.0,40981.0,21238.0,13980.0,24588.0,17568.0,60699.0,73770.0,43225.0,1
38794.0,40982.0,21368.0,8495.0,24587.0,20317.0,60385.0,73767.0,43382.0,1
38280.0,40985.0,21628.0,8526.0,24586.0,20299.0,60124.0,73772.0,43513.0,1
38200.0,40984.0,21667.0,8454.0,24589.0,20336.0,60525.0,73768.0,43310.0,1
38347.0,40984.0,21591.0,8315.0,24586.0,20405.0,60309.0,73763.0,43421.0,1
38301.0,40984.0,21616.0,8553.0,24584.0,20286.0,60057.0,73773.0,43545.0,1
38325.0,40981.0,21604.0,8313.0,24589.0,20408.0,59899.0,73767.0,43626.0,1
38106.0,40981.0,21712.0,7985.0,24588.0,20569.0,59781.0,73771.0,43684.0,1
38006.0,40984.0,21761.0,8158.0,24588.0,20482.0,59462.0,73764.0,43844.0,1
38165.0,40984.0,21683.0,8082.0,24587.0,20523.0,59107.0,73766.0,44026.0,1
38086.0,40984.0,21726.0,8088.0,24586.0,20518.0,37316.0,73762.0,54947.0,1
37920.0,40983.0,21806.0,8205.0,24584.0,20462.0,36875.0,73766.0,55197.0,1
37883.0,40986.0,21827.0,7989.0,24588.0,20568.0,38622.0,73768.0,54318.0,1
37846.0,40981.0,21845.0,8026.0,24587.0,20550.0,44436.0,73768.0,51398.0,1
37598.0,40979.0,21971.0,8248.0,24587.0,20440.0,44457.0,73766.0,51391.0,1
37440.0,40983.0,22053.0,8071.0,24588.0,20528.0,46646.0,73763.0,50288.0,1
22233.0,40980.0,29722.0,8031.0,24586.0,20549.0,46096.0,73768.0,50565.0,1
21703.0,40982.0,29994.0,8072.0,24588.0,20527.0,46336.0,73765.0,50443.0,1
21647.0,40981.0,30024.0,8041.0,24587.0,20546.0,46395.0,73767.0,50412.0,1
22215.0,40980.0,29734.0,7992.0,24586.0,20567.0,47026.0,73765.0,50096.0,1
26010.0,40981.0,27819.0,8010.0,24585.0,20559.0,48235.0,73763.0,49492.0,1
26528.0,40982.0,27555.0,7904.0,24585.0,20612.0,48088.0,73766.0,49565.0,1
27303.0,40981.0,27164.0,7797.0,24587.0,20664.0,46790.0,73764.0,50213.0,1
27384.0,40981.0,27121.0,7834.0,24587.0,20646.0,43469.0,73760.0,51884.0,1
27429.0,40986.0,27102.0,4147.0,24585.0,22490.0,43594.0,73766.0,51816.0,1
27598.0,40984.0,27017.0,4087.0,24586.0,22517.0,41843.0,73762.0,52698.0,1
27679.0,40982.0,26974.0,4103.0,24586.0,22514.0,39062.0,73765.0,54096.0,1
28211.0,40981.0,26706.0,5698.0,24588.0,21714.0,39589.0,73766.0,53835.0,1
28868.0,40982.0,26375.0,6014.0,24588.0,21556.0,40241.0,73767.0,53505.0,1
28710.0,40987.0,26453.0,6649.0,24587.0,21238.0,27609.0,73759.0,59851.0,1
28249.0,40980.0,26686.0,7257.0,24587.0,20934.0,27456.0,73760.0,59925.0,1
25842.0,40981.0,27901.0,6904.0,24585.0,21111.0,27384.0,73760.0,59961.0,1
26550.0,40981.0,27545.0,6840.0,24586.0,21142.0,27360.0,73759.0,59973.0,1
26165.0,40983.0,27736.0,6849.0,24587.0,21140.0,27972.0,73759.0,59665.0,1
23395.0,40979.0,29138.0,6881.0,24588.0,21121.0,28044.0,73766.0,59628.0,1
23976.0,40983.0,28846.0,6871.0,24584.0,21128.0,28156.0,73758.0,59571.0,1
24258.0,40976.0,28705.0,7023.0,24585.0,21051.0,28146.0,73760.0,59576.0,1
16142.0,40980.0,32805.0,6962.0,24588.0,21082.0,28184.0,73760.0,59559.0,1
16024.0,40978.0,32862.0,6483.0,24586.0,21323.0,28379.0,73762.0,59462.0,1
15979.0,40980.0,32886.0,5726.0,24586.0,21700.0,28352.0,73762.0,59470.0,1
15980.0,40979.0,32886.0,5340.0,24586.0,21893.0,28497.0,73766.0,59403.0,1
15953.0,40981.0,32898.0,5813.0,24588.0,21657.0,28428.0,73758.0,59434.0,1
16324.0,40981.0,32711.0,5838.0,24588.0,21646.0,28659.0,73758.0,59321.0,1
16300.0,40978.0,32722.0,4139.0,24583.0,22495.0,28552.0,73765.0,59372.0,1
16359.0,40983.0,32692.0,3949.0,24588.0,22589.0,28603.0,73763.0,59347.0,1
16373.0,40978.0,32687.0,4003.0,24586.0,22563.0,28670.0,73756.0,59313.0,1
16357.0,40980.0,32695.0,4169.0,24586.0,22479.0,41703.0,73764.0,52758.0,1
16382.0,40980.0,32682.0,4356.0,24589.0,22389.0,41973.0,73766.0,52633.0,1
16496.0,40979.0,32627.0,3127.0,24587.0,23002.0,42184.0,73767.0,52529.0,1
16438.0,40980.0,32653.0,3131.0,24588.0,22999.0,42086.0,73762.0,52578.0,1
16523.0,40978.0,32612.0,3134.0,24589.0,22998.0,41982.0,73763.0,52628.0,1
16433.0,40978.0,32656.0,3123.0,24587.0,23002.0,42002.0,73762.0,52618.0,1
16569.0,40978.0,32591.0,3217.0,24587.0,22957.0,41694.0,73764.0,52773.0,1
16485.0,40983.0,32629.0,3468.0,24585.0,22830.0,41419.0,73762.0,52913.0,1
16494.0,40979.0,32626.0,3529.0,24586.0,22798.0,41520.0,73762.0,52858.0,1
